,Id_code,PoolID,Foundation_spp,Day_Night,Before_After,Removal_Control,Group,Time_Point,Sampling_group,Sampling_Day,Sampling_time,Wind_Speed.m.s,DO_mg_L,DO_p,Conductivity,Salinity,Temp.pool,Temp.in,date_triscal,mVolts,pH.pre,Notes,SalCal,Date_Time,PO_ug_L,NO2N_ug_L,NN_ug_L,NH4_ug_L,PO_umol_L,NN_umol_L,NH4_umol_L,Date_Run,TA_Run,TA_Raw,CRM_off,Salinity_Lab,TA_CRM,(Intercept),TTris,mVTris,pH,pH_insitu,CO2,fCO2,pCO2,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite,TA_NormSal,DIC_Norm
1,D1_Ocean_1_BC,Ocean,Ocean,Day,Before,Ocean,Before_Ocean,1,1,7/8/2019,8:48:00,1.4,8.28,94.5,52.4,34.3,11.9,14.537,20190710,-53.2,7.842657207,NA,0.034927972,7/8/2019 8:48,24,-1.04,37,43.8,0.77484,1.400968,2.4281406,8/30/2019,1,2204.690384,0.232710928,32.81,2199.554384,-106.2392471,1.452182309,-85.12887287,7.86832765,7.907910954,22.67453059,547.4653931,549.5310621,1943.177311,101.9313003,2067.783141,2199.554384,1.554911263,2.439170382,2122.569981,1995.410731
2,D_1_1_BC,1,Phyllospadix,Day,Before,Control,Before_Control,1,1,7/8/2019,8:59:00,0.9,9.1,105.4,52.7,34.6,12.6,14.966,20190710,-56.1,7.890223326,NA,0.034801177,7/8/2019 8:59,11.9,15.2,32.8,115,0.3841915,1.2419392,6.375255,8/31/2019,1,2238.544545,0.048572063,33.09,2237.472545,-106.2392471,1.452182309,-84.50588666,7.917377372,7.953172453,20.04337422,495.6705197,497.5238848,1944.394352,117.1368364,2081.574562,2237.472545,1.78698342,2.798051604,2177.58725,2025.861831
3,D_2_1_BC,2,Phyllospadix,Day,Before,Removal,Before_Removal,1,1,7/8/2019,9:04:00,0.9,9.99,118.2,52.7,34.7,12.8,14.29,20190710,-66.7,8.081177287,only 1 push through sterivex,0.034715592,7/8/2019 9:04,30.2,2.02,8.84,81.4,0.975007,0.33471776,4.5125718,9/1/2019,1,2231.155882,0.396650635,32.99,2222.401683,-106.2392471,1.452182309,-85.4875619,8.107427544,8.130549774,12.31326619,306.606041,307.7492956,1807.359731,165.4653249,1985.138322,2222.401683,2.524134372,3.950093278,2156.383281,1926.168037
4,D_3_1_BC,3,Phyllospadix,Day,Before,Removal,Before_Removal,1,1,7/8/2019,9:07:00,0.7,10.28,121.6,52.8,34.8,12.7,14.774,20190710,-62.3,8.00019459,2.5 pushes,0.034817224,7/8/2019 9:07,25.8,2.68,15.24,67.2,0.832953,0.57704736,3.7253664,9/2/2019,1,2248.177487,0.36850704,32.88,2240.044426,-106.2392471,1.452182309,-84.78470567,8.027521974,8.059416363,15.07539475,374.4158239,375.8138215,1875.429626,145.5275176,2036.032538,2240.044426,2.21844068,3.471829307,2166.254727,1968.963231
5,D_4_1_BC,4,Phyllospadix,Day,Before,Control,Before_Control,1,1,7/8/2019,9:10:00,0.7,10.21,119,51.7,34.9,13.2,14.886,20190710,-67.8,8.095540768,pumped 2 x 550;nutrients at 35 ml,0.03396667,7/8/2019 9:10,15.22,8.68,14.04,72,0.4913777,0.53161056,3.991464,9/2/2019,1,2197.911016,0.36850704,32.86,2189.777955,-106.2392471,1.452182309,-84.62206125,8.123309875,8.149466065,11.3404679,286.2718445,287.333792,1758.529269,171.5789212,1941.448658,2189.777955,2.617119656,4.091071901,2116.355988,1876.353026
6,D_5_1_BC,5,Phyllospadix,Day,Before,Control,Before_Control,1,1,7/8/2019,9:13:00,0.7,11.72,137.2,52.4,34.5,13.4,15.491,20190710,-78,8.268647462,NA,0.034291644,7/8/2019 9:13,16.06,0.522,19.02,35.8,0.5184971,0.72017328,1.9846446,9/4/2019,1,2144.885136,0.537981023,32.95,2133.011733,-106.2392471,1.452182309,-83.74349095,8.29645114,8.329342538,6.61651419,167.6894062,168.3097902,1554.893304,229.2160748,1790.725893,2133.011733,3.504677956,5.47983744,2067.139312,1735.424064
7,D_6_1_BC,6,Phyllospadix,Day,Before,Removal,Before_Removal,1,1,7/8/2019,9:17:00,1,9.66,113.8,52.5,34.6,13.8,15.495,20190710,-68.3,8.099249825,"sun, 2.5 pushes",0.034188613,7/8/2019 9:17,86.5,10.4,37.6,10.3,2.7926525,1.4236864,0.5710011,9/4/2019,1,2118.15938,0.537981023,33.03,2106.285977,-106.2392471,1.452182309,-83.73768222,8.127306258,8.153544868,10.59573979,272.0482933,273.0497415,1678.580257,168.039423,1857.21542,2106.285977,2.570452413,4.015165468,2046.194877,1804.230157
8,D_7_1_BC,7,Phyllospadix,Day,Before,Removal,Before_Removal,1,1,7/8/2019,9:37:00,0.3,10.34,120.3,52.6,34.6,13.1,15.931,20190710,-64.6,8.031142905,170 thru sterivex,0.034530859,7/8/2019 9:37,29.2,4.74,12.26,122.4,0.942722,0.46421264,6.7854888,9/5/2019,1,2232.383883,0.544759247,33.01,2220.360883,-106.2392471,1.452182309,-83.10453074,8.059939409,8.1035711,13.1332794,329.9326569,331.1581962,1823.388651,158.3478971,1994.869828,2220.360883,2.418310407,3.782860425,2155.709198,1936.783912
9,D_8_1_BC,8,Phyllospadix,Day,Before,Control,Before_Control,1,1,7/8/2019,9:42:00,0.3,9.47,111.3,52.5,34.5,13.5,16.183,20190710,-65.3,8.041312013,NA,0.034308845,7/8/2019 9:42,38.2,-1.71,13.5,134,1.233287,0.511164,7.428558,9/5/2019,1,2206.941693,0.544759247,33.05,2194.918693,-106.2392471,1.452182309,-82.73858079,8.070291453,8.111634752,12.55409928,319.1639825,320.3434484,1791.415792,160.5881188,1964.55801,2194.918693,2.455934718,3.839269686,2133.590082,1909.665948
10,D_9_1_BC,9,Mytilus,Day,Before,Control,Before_Control,1,1,7/8/2019,9:47:00,0.3,7.63,87.6,52.4,34.5,12.8,15.978,20190710,-45.8,7.703065264,NA,0.03453924,7/8/2019 9:47,39.2,20.4,74.6,190.6,1.265572,2.8246544,10.5662922,9/7/2019,1,2112.656076,0.267242737,33.01,2106.757949,-106.2392471,1.452182309,-83.03627817,7.731695004,7.777739752,29.37031524,730.5060198,733.2311565,1910.087611,77.24964786,2016.707574,2106.757949,1.179548557,1.846518205,2045.414114,1957.985795
