PoolID,Foundation_spp,Removal_Control,Before_After,Perimeter,MaxDepth,LevelHeight,TideHeight,Squares,SurfaceArea,LoggerDepth,Vol,SAtoV
1,Phyllospadix,Control,Before,9.498,0.28,1.209675,0.927449,361,3.61,0.15,0.29146895541190293,12.38553860701343
2,Phyllospadix,Removal,Before,6.88,0.28,1.196975,0.940149,198.5,1.985,0.295,0.2052892499579635,9.669283707775556
3,Phyllospadix,Removal,Before,10.484,0.28,1.2065,0.930624,531,5.3100000000000005,0.265,0.6495145631067961,8.175336322869956
4,Phyllospadix,Control,Before,6.69,0.185,1.196975,0.940149,122.9,1.229,0.095,0.09947910858668163,12.354352762712029
5,Phyllospadix,Control,Before,5.836,0.15,1.355725,0.781399,153.3,1.5330000000000001,0.095,0.08937655125028664,17.15214984864482
6,Phyllospadix,Removal,Before,3.48,0.13,1.2319,0.905224,68.3,0.6829999999999999,0.065,0.027431630832962,24.898264494697973
7,Phyllospadix,Removal,Before,8.18,0.335,1.431925,0.705199,299,2.99,0.137,0.25742442735092663,11.61505934292695
8,Phyllospadix,Control,Before,5.5,0.165,1.3589,0.778224,88.6,0.886,0.125,0.06379798696660702,13.887585519959242
9,Mytilus,Control,Before,10.316,0.34,2.00025,1.114313001,645.3,6.452999999999999,0.125,0.7516853932584271,8.58470852017937
10,Mytilus,Removal,Before,5.94,0.215,2.0066,1.107963001,204.2,2.042,0.215,0.22762656891572192,8.970833280696878
11,Mytilus,Removal,Before,3.79,0.3,1.44145,1.673113001,106.2,1.062,0.225,0.11705341948544971,9.072780655775816
12,Mytilus,Control,Before,7.63,0.225,1.781175,1.333388001,255.2,2.552,0.18,0.2317966566251309,11.009649738508427
13,Mytilus,Control,Before,9.18,0.225,1.93675,1.177813001,416,4.16,0.165,0.2772218694504863,15.006031119572274
14,Mytilus,Control,Before,3.9,0.17,2.2098,0.904763001,58.3,0.583,0.17,0.04355739299137824,13.384639436878125
15,Mytilus,Removal,Before,4.17,0.175,2.2352,0.879363001,107,1.07,0.145,0.0721062491110847,14.839213149911467
16,Mytilus,Removal,Before,15.57,0.295,1.343025,1.771538001,688,6.88,0.295,0.669,10.284005979073243
17,Mytilus,Removal,Before,4.26,0.23,1.050925,1.086199,110.7,1.107,0.123,0.08150791752049784,13.581502676983602
18,Phyllospadix,Control,Before,12.94,0.405,1.4986,1.615963001,503.8,5.038,0.15,0.3616216216216217,13.931689088191328
19,Mytilus,Control,Before,11.15,0.41,1.0668,1.070324,543.95,5.439500000000001,0.205,0.6495145631067961,8.374715994020928
20,Phyllospadix,Control,Before,11.66,0.41,1.1303,1.006824,464.65,4.6465,0.155,0.35585106382978726,13.05742899850523
21,Phyllospadix,Removal,Before,7.202,0.135,1.0287,1.108424,217.95,2.1795,0.115,0.05451524654919417,39.97964125564826
22,Phyllospadix,Removal,Before,10.37,0.14,0.99695,1.140174,403.2,4.032,0.075,0.09835133548022339,40.9958846040353
23,Mytilus,Removal,Before,7.04,0.165,2.0701,1.044463001,159,1.59,0.16,0.06562884832279592,24.22715072157864
24,Mytilus,Removal,Before,3.6,0.18,1.7018,1.412763001,98,0.98,0.13,0.06597613058127098,14.853856862563536
25,Mytilus,Control,Before,3.85,0.28,1.108075,1.029049,114.3,1.143,0.21,0.09764500397704541,11.705668016242786
26,Phyllospadix,Removal,Before,5.214,0.145,2.295525,0.819038001,120.3,1.203,0.066,0.06514268369730085,18.46715443272175
27,Phyllospadix,Control,Before,4.912,0.26,2.2733,0.841263001,116.4,1.1640000000000001,0.075,0.16357138148712042,7.116159253638469
28,Phyllospadix,Removal,Before,7.05,0.175,2.3495,0.765063001,233.7,2.3369999999999997,0.13,0.18340735213613296,12.742128234125403
29,Phyllospadix,Control,Before,3.32,0.16,2.276221,0.838342001,75,0.75,0.125,0.04566718404602281,16.42317159832232
30,Mytilus,Control,Before,5.19,0.135,1.905,1.209563001,158.5,1.585,0.105,0.1642846856053437,9.64788649751322
31,Mytilus,Control,Before,8.794,0.21,1.9685,1.146063001,332.9,3.3289999999999997,0.1,0.17594375514680063,18.920819310821297
32,Mytilus,Removal,Before,8.546,0.31,1.9939,1.120663001,320.3,3.2030000000000003,0.175,0.281149722269502,11.392506363316613
1,Phyllospadix,Control,After,9.498,0.28,1.209675,0.927449,361,3.61,0.15,0.29146895541190293,12.38553860701343
2,Phyllospadix,Removal,After,6.88,0.28,1.196975,0.940149,248.6,2.486,0.295,0.2557626788516108,9.719948239368948
3,Phyllospadix,Removal,After,10.484,0.28,1.2065,0.930624,615.2,6.152000000000001,0.265,0.7779069767441861,7.908400597907326
4,Phyllospadix,Control,After,6.69,0.185,1.196975,0.940149,122.9,1.229,0.095,0.09947910858668163,12.354352762712029
5,Phyllospadix,Control,After,5.836,0.15,1.355725,0.781399,153.3,1.5330000000000001,0.095,0.08937655125028664,17.15214984864482
6,Phyllospadix,Removal,After,3.48,0.13,1.2319,0.905224,68.3,0.6829999999999999,0.065,0.03232043846362213,21.132139057109086
7,Phyllospadix,Removal,After,8.18,0.335,1.431925,0.705199,308.3,3.083,0.137,0.2165529965572778,14.236699787179132
8,Phyllospadix,Control,After,5.5,0.165,1.3589,0.778224,88.6,0.886,0.125,0.06379798696660702,13.887585519959242
9,Mytilus,Control,After,10.316,0.34,2.00025,1.114313001,645.3,6.452999999999999,0.125,0.7516853932584271,8.58470852017937
10,Mytilus,Removal,After,5.94,0.215,2.0066,1.107963001,220.5,2.205,0.215,0.31863978765763507,6.920039760913911
11,Mytilus,Removal,After,3.79,0.3,1.44145,1.673113001,157.4,1.574,0.225,0.1782747714428617,8.829067552637296
12,Mytilus,Control,After,7.63,0.225,1.781175,1.333388001,255.2,2.552,0.18,0.2317966566251309,11.009649738508427
13,Mytilus,Control,After,9.18,0.225,1.93675,1.177813001,416,4.16,0.165,0.2772218694504863,15.006031119572274
14,Mytilus,Control,After,3.9,0.17,2.2098,0.904763001,58.3,0.583,0.17,0.04355739299137824,13.384639436878125
15,Mytilus,Removal,After,4.17,0.175,2.2352,0.879363001,150.4,1.504,0.145,0.10899964789482704,13.798209710284556
16,Mytilus,Removal,After,15.57,0.295,1.343025,1.771538001,754,7.54,0.295,0.8688311688311688,8.678325859491778
17,Mytilus,Removal,After,4.26,0.23,1.050925,1.086199,145.3,1.453,0.123,0.10073930472904344,14.423367362998048
18,Phyllospadix,Control,After,12.94,0.405,1.4986,1.615963001,503.8,5.038,0.15,0.3616216216216217,13.931689088191328
